#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
621.71591,9,807.128964
633.404663,1,807.791925
604.544712,27,809.12769
222.968478,6,809.591982
629.37226,5,810.408042
621.800153,7,811.208089
625.715451,8,812.07492
229.0,1,812.440808
602.180001,28,813.797154
629.038439,3,814.49683
633.234276,1,815.193586
215.494817,11,815.796779
598.589997,34,817.322758
229.0,1,817.696475
591.460375,35,819.241199
628.909792,4,819.90885
227.657126,2,820.341658
660.751518,3,821.079655
609.37844,25,822.357054
633.278853,6,823.1628
229.0,1,823.529208
630.604767,7,824.362905
224.121917,5,824.840282
632.192491,2,825.546966
348.802643,12,826.429005
651.188511,10,827.308408
594.419637,35,828.848212
638.188255,3,829.528274
638.851852,1,830.15495
632.425043,3,830.904871
190.475555,30,832.056771
625.392323,7,832.908628
220.060386,8,833.457925
637.643638,1,834.058474
211.177742,15,834.811737
226.604449,3,835.241798
226.485436,3,835.656132
620.701531,15,836.692626
618.449918,13,837.657602
227.536377,2,838.043556
621.597355,12,839.04143
629.564709,9,839.889123
216.071852,11,840.507303
616.647553,19,841.637164
628.7485,5,842.439546
618.892481,17,843.494271
627.449668,12,844.394772
653.648725,11,845.277397
624.076089,9,846.192548
229.0,1,846.543863
637.506187,1,847.189647
227.714967,2,847.577133
617.974423,14,848.627065
611.756814,21,849.77394
636.551702,3,850.480505
615.793751,16,851.578372
624.533245,11,852.493693
269.532922,10,853.346678
631.669495,3,854.046105
621.313492,17,855.123412
657.165175,8,855.937876
588.645751,35,857.503508
634.331318,6,858.292905
617.506194,8,859.057545
628.557771,9,859.970815
633.472915,2,860.70686
660.222426,4,861.420744
593.937104,32,862.892621
219.010831,9,863.474034
613.238843,17,864.556956
630.133125,4,865.271083
632.955616,2,865.959028
205.669495,19,866.755633
625.571664,8,867.644954
604.77122,24,868.861402
329.496848,19,869.961537
361.842258,2,870.634653
636.022712,22,871.887833
609.370531,16,872.938725
630.573896,5,873.737414
355.281691,6,874.454119
611.318201,22,875.654945
624.796263,11,876.550957
624.449698,13,877.477709
635.848328,1,878.120123
639.164052,2,878.818628
137.516835,71,880.970356
623.257292,14,881.971991
628.596539,2,882.674175
330.773795,7,883.471046
623.937486,9,884.333447
629.563838,8,885.153161
610.380161,15,886.173894
626.611455,10,887.118225
624.281609,9,888.001516
610.753864,20,889.134921
227.80199,2,889.533093
624.823761,10,890.456936
633.387053,3,891.140547
221.549019,7,891.673766
634.231978,4,892.336565
607.430102,26,893.641033
337.781867,15,894.657304
617.348048,11,895.589695
622.754641,10,896.500012
622.901779,13,897.453193
222.557058,6,897.955991
632.124468,5,898.734476
370.039306,6,899.534985
632.357315,5,900.276744
607.399733,22,901.482092
634.387753,1,902.141504
620.980214,12,903.099429
340.295183,10,903.91821
623.182096,10,904.837046
624.823222,11,905.775794
629.409264,4,906.506396
625.876563,6,907.361213
629.168733,5,908.115673
229.0,1,908.46639
572.618743,9,909.400908
635.557161,3,910.122008
634.005981,1,910.764474
222.64909,6,911.252658
632.151952,3,911.965355
623.107759,9,912.903796
633.027743,4,913.631035
634.066773,5,914.38074
660.212399,1,915.004734
229.0,1,915.354637
628.082051,4,916.133711
344.972435,3,916.765568
225.096424,4,917.204333
223.673746,5,917.655793
659.361987,3,918.354289
659.701455,4,919.12118
217.873755,10,919.722382
634.266179,4,920.53019
620.373724,9,921.397794
627.297472,10,922.268605
611.368528,20,923.44836
216.011211,11,924.080952
636.839757,2,924.764639
621.660613,11,925.687961
625.645232,13,926.632581
632.104782,4,927.36774
195.062051,28,928.464416
631.179446,3,929.153165
596.977226,34,930.70015
623.406827,9,931.612532
632.031192,8,932.419063
229.0,1,932.78183
626.321165,8,933.631006
217.920494,10,934.213937
632.222972,5,935.018594
636.372659,3,935.686162
603.994462,29,937.063644
221.794875,7,937.585879
351.061648,2,938.211964
639.105953,1,938.898268
633.117874,4,939.619714
326.573949,10,940.463478
628.815579,4,941.218735
629.03505,8,942.052215
369.759853,1,942.695151
222.587108,6,943.165438
