#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
605.781504,19,898.149506
498.118138,91,902.171525
209.870213,15,903.141728
635.998298,2,903.940254
582.606339,37,906.08954
624.714208,5,906.907582
524.121259,72,910.182671
585.031328,35,912.10376
610.740584,17,913.435077
573.776822,52,915.954614
631.29175,3,916.7047
229.0,1,917.102595
629.151261,5,917.932593
223.289083,5,918.441517
631.726271,7,919.529699
590.774945,29,921.301336
621.050481,8,922.241333
324.077205,197,929.879217
208.101972,15,930.841978
23.306497,135,935.906701
630.18809,7,936.771404
528.554626,72,940.083573
599.803836,28,941.836919
580.730866,1,944.151588
604.772814,21,945.597453
628.037011,8,946.494946
623.076933,12,947.562048
607.317272,16,948.684397
562.443389,50,951.141596
608.336449,25,952.73289
320.731152,1,953.347785
162.39306,131,958.454509
185.48922,30,959.817516
641.444233,17,961.03463
565.595182,49,963.642925
369.473651,175,970.696094
589.797595,30,972.392748
498.130126,90,976.17609
624.345604,9,977.172473
655.32674,8,978.10077
627.898025,25,979.678562
474.482072,109,984.072936
626.180996,9,985.010085
571.619735,45,987.442057
572.058435,67,990.678908
593.421696,34,992.575419
595.094687,45,994.730726
342.344061,10,995.689858
213.893185,12,996.444563
511.393507,85,1000.017378
574.363306,46,1002.235273
384.939504,163,1008.669413
-96.490498,200,1016.166761
205.715501,18,1017.111725
574.02817,48,1019.398687
621.360013,12,1020.444033
627.655142,6,1021.425698
618.595943,12,1022.464526
457.840237,120,1027.196568
229.0,1,1027.665814
619.289708,34,1029.421074
592.204842,34,1031.202683
96.772837,89,1034.678736
229.0,1,1039.098379
628.860363,4,1039.890718
619.062105,9,1040.852193
196.943387,24,1041.995813
652.002215,11,1042.972685
594.938785,28,1044.659001
229.0,1,1045.01807
632.972434,2,1045.730369
575.951087,47,1048.023648
624.67181,5,1048.840312
626.97921,5,1049.633594
628.645759,5,1050.465878
621.175045,11,1051.573646
635.047189,5,1052.365871
608.595322,20,1053.69982
225.952928,3,1054.121208
316.604269,3,1054.813838
580.50363,41,1056.981613
557.993996,58,1059.976075
614.330246,15,1061.134787
216.762344,10,1061.828924
624.552114,10,1062.920589
569.44721,42,1064.97818
559.728836,51,1067.442698
625.120601,7,1068.43418
620.245667,13,1069.511027
346.721547,4,1070.246584
610.540469,18,1071.507504
579.58639,40,1073.54377
575.107578,51,1075.944056
631.021103,3,1076.650004
625.12506,7,1077.543295
519.886421,79,1081.201879
587.487917,36,1083.312409
197.795012,24,1084.497316
594.692511,30,1086.256511
637.653583,2,1086.963219
553.197359,79,1090.348916
594.621381,35,1092.248148
633.598241,2,1092.941572
632.827541,6,1093.800782
621.891945,10,1094.792062
621.874502,10,1095.87347
608.413875,17,1097.108295
588.849755,34,1098.906791
612.784284,21,1100.219922
624.827921,7,1101.12852
628.368466,2,1101.918935
141.096604,62,1104.634824
213.114334,12,1105.522091
615.822673,15,1106.910824
595.736425,31,1108.859517
604.000783,23,1110.771901
597.838409,24,1112.584578
135.344609,71,1115.796588
635.649014,2,1116.53984
629.508029,3,1117.357622
229.0,1,1117.790394
609.932544,18,1119.153915
178.335286,39,1120.96355
611.185111,19,1122.459845
515.635876,86,1126.384559
528.203705,76,1130.455601
610.338039,20,1131.940248
191.308435,27,1133.310769
200.257982,21,1134.470522
619.881943,13,1135.63393
621.031935,10,1136.759028
157.392314,51,1139.300743
621.052541,10,1140.486643
215.716195,11,1141.270566
644.443611,14,1142.484987
618.94627,12,1143.635727
365.498826,183,1151.777838
629.898548,4,1152.644495
460.513371,122,1157.732575
598.111197,28,1159.529922
323.204265,22,1161.016645
626.929398,6,1161.923476
229.0,1,1163.283897
539.943888,68,1166.540906
623.696013,11,1167.542146
596.260073,28,1169.213361
221.099787,6,1169.791375
622.300847,10,1170.878374
611.593337,18,1172.127241
85.565806,104,1176.149852
629.848853,6,1177.035612
619.265964,12,1178.26447
627.765573,4,1179.089398
624.952393,9,1180.115913
229.0,1,1180.498082
626.433521,7,1181.410795
617.148423,13,1182.548048
184.376856,33,1184.047576
656.43357,6,1184.987851
624.18219,8,1186.096559
226.610563,3,1186.547696
540.333215,65,1189.825673
581.369526,40,1192.007692
604.1594,44,1194.226643
296.459005,36,1196.140932
600.696512,24,1197.711826
229.0,1,1198.154326
226.608905,3,1198.656319
-91.805564,200,1206.653243
634.782804,2,1207.51428
467.454965,117,1212.68366
624.742225,11,1213.796679
549.194223,66,1216.967916
563.954224,54,1219.720987
147.910819,60,1222.347759
637.077937,3,1223.203234
632.904023,7,1224.133296
607.487092,24,1225.738022
631.547226,4,1226.59089
627.765612,7,1227.826901
583.004382,39,1230.025001
607.594235,25,1231.694918
628.095365,5,1232.606568
630.367261,4,1233.462543
631.344948,7,1234.40043
519.023484,81,1238.12842
629.319978,9,1239.172421
570.148377,47,1241.553144
553.200438,62,1244.54775
400.763082,166,1251.288854
330.434578,4,1252.079355
304.399612,51,1254.691019
623.819575,9,1255.747372
621.630382,15,1257.221601
438.194541,136,1263.264499
410.447836,158,1271.055759
587.211508,32,1273.195708
229.0,1,1275.333524
219.724055,8,1276.068778
512.924423,91,1281.166473
595.35139,33,1283.301573
591.825757,32,1285.454323
600.377966,24,1287.232869
610.727634,24,1289.028292
634.5177,4,1289.926625
621.649225,11,1291.104393
630.346841,9,1292.209734
635.866397,3,1293.119412
631.893869,3,1294.016515
534.494106,75,1297.864259
633.03484,2,1298.756072
210.269264,15,1299.785762
514.568566,45,1302.346612
569.3668,48,1305.022011
209.778649,15,1306.081816
