#{"t_start": 1754942248.3724322, "env_id": "None"}
r,l,t
614.523846,17,1113.666041
614.385059,16,1114.717846
551.617546,22,1115.85771
615.867197,19,1116.96647
557.576321,12,1117.943202
335.99243,25,1119.144485
224.867479,4,1119.616179
623.889186,6,1120.48753
619.790286,8,1121.304564
626.234591,10,1122.173994
193.706106,27,1123.161172
623.005499,6,1123.933736
645.20077,13,1124.8918
650.896186,13,1125.924982
621.822632,10,1126.902539
622.644049,12,1127.82773
598.174785,30,1129.16182
629.796342,5,1129.947096
651.450964,8,1130.773802
509.798582,86,1133.585629
336.941272,27,1134.846829
585.930153,37,1136.41255
628.575208,10,1137.376568
211.166667,14,1138.0522
638.272553,1,1138.714851
618.340116,12,1139.627198
624.87894,10,1140.513102
659.879006,3,1141.228865
605.701194,22,1142.403208
663.138578,1,1143.018125
617.716877,14,1143.994255
590.705794,32,1145.504011
621.731213,11,1146.470963
619.717761,15,1147.522528
224.905728,4,1147.987328
620.496365,17,1149.088571
229.0,1,1149.479936
596.004647,27,1150.971093
357.832922,3,1151.702686
574.363217,47,1153.756673
630.856249,3,1154.524146
267.692968,52,1156.524228
632.921671,2,1157.23298
614.975257,15,1158.311256
631.669815,5,1159.144208
564.491491,55,1161.2568
620.272065,8,1162.147461
627.775149,6,1163.025969
225.142652,4,1163.485856
628.430841,6,1164.307961
626.176386,13,1165.325368
627.992797,2,1166.047584
612.812632,17,1167.194342
632.466325,2,1167.962176
626.377243,7,1168.80344
589.867932,55,1171.011797
203.232535,19,1171.879202
608.357477,25,1173.27641
229.0,1,1173.700281
227.645245,2,1174.108402
629.371946,2,1174.768332
282.308033,27,1176.226024
580.829325,41,1177.950265
632.880987,2,1178.6271
622.949047,6,1179.410863
626.980078,8,1180.344931
631.481166,3,1181.107643
638.359977,1,1181.784424
632.264304,7,1182.704314
568.516457,51,1184.675075
481.834393,116,1188.440101
583.583679,37,1190.194767
178.027325,38,1191.678118
614.105716,16,1192.780165
616.400558,18,1193.91079
633.232862,3,1194.641215
197.745562,24,1195.637506
606.340314,21,1196.934819
624.528166,8,1197.932802
638.414993,3,1198.677266
610.677093,22,1199.897296
623.177125,9,1200.798688
328.200884,9,1201.66395
605.39224,23,1202.95601
576.754234,2,1203.747767
602.499445,27,1205.192386
552.676606,19,1206.418905
616.804372,14,1207.486379
358.534646,13,1208.494245
354.138641,13,1209.431183
615.713138,16,1210.587595
364.235626,2,1211.317767
198.560895,24,1212.261868
202.280206,21,1213.226987
558.979233,51,1215.215663
633.732391,5,1216.107795
635.333989,6,1216.943893
568.247359,51,1218.926798
598.373304,29,1220.44917
213.84469,12,1221.147847
628.922032,8,1222.194934
630.842941,7,1223.183832
630.9329,4,1224.130802
175.155035,41,1225.551936
624.506026,12,1226.525278
561.31243,56,1228.752666
195.515488,26,1229.794347
609.965033,20,1230.989191
554.929762,58,1233.38515
609.784583,20,1234.586282
205.980556,18,1235.416751
175.114722,42,1237.017849
209.40683,15,1237.780349
597.964054,27,1239.154838
640.270708,1,1239.83123
636.785776,4,1240.565176
631.395451,1,1241.354978
623.008518,9,1242.206001
612.231637,19,1243.378843
612.059501,22,1244.554698
646.666536,15,1245.543028
594.160575,31,1247.113235
623.647485,14,1248.082686
225.228028,4,1248.61942
577.128731,4,1249.504305
630.883647,5,1250.229167
623.922805,9,1251.076714
627.071539,6,1251.874491
636.967336,3,1252.57517
222.679655,6,1253.176219
560.134314,58,1255.225753
229.0,1,1255.612816
632.139388,3,1256.328908
660.286481,2,1256.994188
619.41167,8,1257.882795
611.109552,20,1259.022152
631.764002,3,1259.714625
277.072554,18,1260.730822
579.178046,46,1262.522025
616.949364,16,1263.641251
220.306945,7,1264.154433
624.301934,10,1265.053681
627.058858,6,1265.849557
622.653574,14,1266.848214
631.412516,6,1267.753522
630.584786,4,1268.51288
597.076326,32,1270.206822
201.389817,22,1271.068489
570.131649,8,1271.838613
596.145857,49,1273.696946
215.024332,12,1274.316563
632.16944,24,1275.577002
343.08419,14,1276.494034
646.785318,15,1277.580383
633.76301,3,1278.293711
353.18269,10,1279.112221
208.320855,17,1279.859622
227.660831,2,1280.262993
578.834511,41,1281.993984
639.060061,2,1282.626732
612.73458,18,1283.761161
189.952076,31,1284.904131
623.514846,11,1285.827838
545.750733,72,1288.420058
627.761729,8,1289.368572
628.035177,6,1290.158246
623.869204,3,1290.937311
627.282859,27,1292.407284
596.834627,31,1293.800227
652.768769,10,1294.645153
227.68591,2,1295.036271
237.104575,25,1296.221287
633.295333,2,1296.937874
619.095617,12,1297.846859
629.676216,5,1298.588033
557.903085,58,1300.672791
619.385137,11,1301.568087
607.651169,21,1302.696467
623.352862,8,1303.531801
565.372368,54,1305.496426
611.370523,16,1306.516774
336.192985,18,1307.545496
639.377957,19,1308.657437
268.557812,74,1311.095635
562.136827,51,1312.958846
